,fname,image_height,image_width,start_x,start_y,end_x,end_y,detect_conf,mask,withoutMask
0,273.jpg,702,960,652,204,732,324,0,0.99999774,2.2435686e-06
1,273.jpg,702,960,127,262,179,334,0,0.99995434,4.560715e-05
2,273.jpg,702,960,485,250,527,302,0,0.9223366,0.07766336
3,273.jpg,702,960,20,312,38,334,0,0.7473949,0.25260505
4,2121.jpg,900,1440,743,324,813,413,0,0.7383116,0.26168835
5,2121.jpg,900,1440,744,202,823,308,0,0.03439479,0.96560514
6,1676.jpg,594,600,256,153,313,228,0,0.0061563435,0.9938437
7,3703.jpg,533,800,743,232,756,244,0,0.2061659,0.79383403
8,3703.jpg,533,800,645,226,654,238,0,0.2516438,0.74835616
9,3703.jpg,533,800,459,203,484,258,0,0.92359215,0.07640787
10,2185.jpg,540,720,120,204,142,231,0,0.00047500548,0.99952495
11,2185.jpg,540,720,232,202,253,228,0,0.0014875811,0.99851245
12,2185.jpg,540,720,338,228,360,255,0,0.00017887219,0.9998211
13,2185.jpg,540,720,173,214,193,240,0,0.006400236,0.9935998
14,2185.jpg,540,720,594,235,617,262,0,8.746554e-06,0.9999913
15,2185.jpg,540,720,540,242,562,267,0,0.20818509,0.791815
16,2185.jpg,540,720,380,364,404,392,0,0.009922046,0.990078
17,2185.jpg,540,720,82,195,103,222,0,0.08991905,0.9100809
18,2185.jpg,540,720,494,234,516,263,0,8.118373e-05,0.9999188
19,2185.jpg,540,720,198,248,219,273,0,0.053195316,0.9468047
20,2185.jpg,540,720,367,210,386,235,0,0.00017514834,0.9998248
21,2185.jpg,540,720,543,207,564,231,0,6.4835716e-05,0.99993515
22,2185.jpg,540,720,439,231,461,260,0,0.07812902,0.92187095
23,2185.jpg,540,720,197,211,217,237,0,0.0026944382,0.9973055
24,2185.jpg,540,720,134,232,157,260,0,0.00068402727,0.999316
25,2185.jpg,540,720,83,227,108,257,0,0.00472537,0.99527466
26,2185.jpg,540,720,282,210,301,237,0,0.0006391262,0.99936086
27,2185.jpg,540,720,608,212,631,237,0,0.0006725893,0.9993274
28,2185.jpg,540,720,438,361,462,387,0,0.018650213,0.98134977
29,2185.jpg,540,720,545,349,569,375,0,0.003526341,0.9964736
30,2185.jpg,540,720,497,198,516,224,0,0.0001412002,0.99985874
31,2185.jpg,540,720,285,260,306,286,0,0.015054185,0.9849458
32,2185.jpg,540,720,330,198,348,221,0,0.030487208,0.9695128
33,2185.jpg,540,720,389,232,410,259,0,0.006900726,0.9930992
34,2185.jpg,540,720,421,190,439,214,0,9.8263714e-05,0.9999018
35,2185.jpg,540,720,401,196,422,221,0,0.00018528261,0.9998147
36,2185.jpg,540,720,455,208,476,236,0,0.00599917,0.99400085
37,2185.jpg,540,720,236,242,257,269,0,0.0011315829,0.99886847
38,2185.jpg,540,720,180,379,204,408,0,0.003168415,0.9968316
39,2185.jpg,540,720,643,204,669,233,0,0.00016783252,0.99983215
40,2185.jpg,540,720,496,367,518,396,0,0.0025307813,0.9974692
41,2185.jpg,540,720,317,366,340,398,0,0.00020657842,0.99979347
42,2185.jpg,540,720,50,200,74,229,0,0.10893371,0.8910663
43,2185.jpg,540,720,242,374,268,408,0,3.8970306e-06,0.99999607
44,2185.jpg,540,720,27,217,55,250,0,0.00234002,0.9976599
45,2185.jpg,540,720,68,388,97,420,0,0.0002680176,0.99973196
46,2185.jpg,540,720,334,48,349,69,0,0.13622135,0.86377865
47,2185.jpg,540,720,137,377,163,410,0,0.0049782177,0.9950218
48,2185.jpg,540,720,470,206,486,229,0,0.115720905,0.88427913
49,2221.jpg,1348,1800,426,378,508,506,0,0.118148774,0.8818512
50,2221.jpg,1348,1800,581,444,629,504,0,0.036915135,0.9630849
51,2221.jpg,1348,1800,532,477,576,534,0,0.6333339,0.36666602
52,2221.jpg,1348,1800,605,546,651,600,0,0.004728078,0.995272
53,2221.jpg,1348,1800,927,493,966,548,0,0.033313166,0.96668684
54,2221.jpg,1348,1800,967,563,1006,610,0,0.00032643796,0.9996736
55,2221.jpg,1348,1800,977,452,1013,501,0,0.027234998,0.972765
56,2221.jpg,1348,1800,538,559,580,618,0,0.03995669,0.9600433
57,2221.jpg,1348,1800,1512,338,1607,521,0,0.99797934,0.0020206422
58,2221.jpg,1348,1800,1115,476,1170,557,0,0.06795576,0.93204427
59,2221.jpg,1348,1800,771,422,832,518,0,0.99987495,0.00012506566
60,2221.jpg,1348,1800,894,458,930,500,0,0.04134351,0.95865655
61,1333.jpg,682,1024,597,358,609,374,0,0.21046516,0.78953487
62,1333.jpg,682,1024,525,328,538,345,0,0.38476402,0.6152359
63,1333.jpg,682,1024,451,356,463,372,0,0.24654974,0.7534503
64,1333.jpg,682,1024,674,365,686,381,0,0.3709294,0.62907064
65,1333.jpg,682,1024,302,266,319,290,0,0.0341946,0.9658054
66,1333.jpg,682,1024,337,354,348,368,0,0.36001322,0.6399868
67,1333.jpg,682,1024,382,363,394,376,0,0.34172648,0.65827346
68,1333.jpg,682,1024,788,586,814,642,0,0.19892895,0.80107105
